Date;Time;Waterlevel Feedback 1 [cm];Waterlevel Setpoint [cm];Penstock Pressure [mWC];Active Power [kW];Active Power Setpoint [kW] / Control Mode [-1=OFF/0=WLC/>0=POW];Voltage Grid [KV];Reactive Power Grid [Kvar];U1 Spear Opening [%];U1 Reactive Power Generator [Kvar];U1 Voltage Generator [KV];U1 Active Power Generator [kW];U1 Operation Mode [0=Off/1=Manual/2=Automatic];U1 Unit Status [0=Off/1=On/2=Parallel/3=Inactive/4=Stop/5=Inlet/6=Standby/7=Start/8=Ctrl/9=On Set Point/10=Standby Pow/11=Standby Wlc];U2 Spear Opening [%];U2 Reactive Power Generator [Kvar];U2 Voltage Generator [KV];U2 Active Power Generator [kW];U2 Operation Mode [0=Off/1=Manual/2=Automatic];U2 Unit Status [0=Off/1=On/2=Parallel/3=Inactive/4=Stop/5=Inlet/6=Standby/7=Start/8=Ctrl/9=On Set Point/10=Standby Pow/11=Standby Wlc]
01.12.2024;00:00;435;435;870,4;6044;0;33771;-180;47,5;-36;6788;2984;2;9;48,1;-38;6790;3060;2;8
01.12.2024;00:05;435;435;870,4;6038;0;33768;-183;47,5;-40;6786;2988;2;9;48,1;-38;6784;3052;2;8
01.12.2024;00:10;435;435;871,3;5937;0;33778;-179;47,5;-42;6794;2992;2;9;46,4;-36;6792;2945;2;8
01.12.2024;00:15;435;435;870,4;5927;0;33779;-346;47,5;-69;6794;2973;2;9;46,4;-172;6784;2951;2;8
01.12.2024;00:20;436;435;871,3;5931;0;33652;-349;47,5;-73;6765;2967;2;9;46,4;-174;6756;2963;2;8
01.12.2024;00:25;435;435;870,4;6016;0;33760;-349;47,5;-69;6786;2975;2;9;47,8;-172;6779;3040;2;8
01.12.2024;00:30;435;435;870,4;6001;0;33826;-625;47,5;-245;6786;2971;2;9;47,8;-272;6782;3030;2;8
01.12.2024;00:35;435;435;870,4;6024;0;33702;-43;47,5;-76;6765;2973;2;9;47,8;132;6779;3052;2;8
01.12.2024;00:40;435;435;870,4;6024;0;33687;-52;47,5;-75;6765;2977;2;9;47,9;128;6779;3046;2;8
01.12.2024;00:45;435;435;870,4;6044;0;33683;-120;47,5;-76;6765;2996;2;9;47,8;61;6774;3048;2;8
01.12.2024;00:50;435;435;870,4;5995;0;33635;-123;47,5;-78;6755;2967;2;9;47,9;61;6764;3028;2;8
