Date;Time;Waterlevel Feedback 1 [cm];Waterlevel Setpoint [cm];Penstock Pressure [bar];Active Power [kW];Active Power Setpoint [kW] / Control Mode [-1=OFF/0=WLC/>0=POW];Voltage Grid [KV];Reactive Power Grid [Kvar];U1 Spear Opening [%];U1 Reactive Power Generator [Kvar];U1 Voltage Generator [KV];U1 Active Power Generator [kW];U1 Operation Mode [0=Off/1=Manual/2=Automatic];U1 Unit Status [0=Off/1=On/2=Parallel/3=Inactive/4=Stop/5=Inlet/6=Standby/7=Start/8=Ctrl/9=On Set Point/10=Standby Pow/11=Standby Wlc];U2 Spear Opening [%];U2 Reactive Power Generator [Kvar];U2 Voltage Generator [KV];U2 Active Power Generator [kW];U2 Operation Mode [0=Off/1=Manual/2=Automatic];U2 Unit Status [0=Off/1=On/2=Parallel/3=Inactive/4=Stop/5=Inlet/6=Standby/7=Start/8=Ctrl/9=On Set Point/10=Standby Pow/11=Standby Wlc]
09.10.2024;05:40;176;200;666,0;0;0;0;0;10,0;0;0;0;0;0;55,0;0;0;0;0;0
09.10.2024;05:45;176;200;666,0;0;0;0;0;10,0;0;0;0;0;0;55,0;0;0;0;0;0
09.10.2024;05:50;176;200;666,0;0;0;0;0;10,0;0;0;0;0;0;55,0;0;0;0;0;0
09.10.2024;05:55;176;200;666,0;0;0;0;0;10,0;0;0;0;0;0;55,0;0;0;0;0;0
09.10.2024;06:00;176;200;666,0;0;0;0;0;10,0;0;0;0;0;0;55,0;0;0;0;0;0
09.10.2024;06:05;176;200;666,0;0;0;0;0;10,0;0;0;0;0;0;55,0;0;0;0;0;0
09.10.2024;06:10;176;200;666,0;0;0;0;0;10,0;0;0;0;0;0;55,0;0;0;0;0;0
09.10.2024;06:15;176;200;666,0;0;0;0;0;10,0;0;0;0;0;0;55,0;0;0;0;0;0
09.10.2024;06:20;176;200;666,0;0;0;0;0;10,0;0;0;0;0;0;55,0;0;0;0;0;0
09.10.2024;06:25;176;200;666,0;0;0;0;0;10,0;0;0;0;0;0;55,0;0;0;0;0;0
09.10.2024;06:30;176;200;666,0;0;0;0;0;10,0;0;0;0;0;0;55,0;0;0;0;0;0
09.10.2024;06:35;176;200;666,0;0;0;0;0;10,0;0;0;0;0;0;55,0;0;0;0;0;0
09.10.2024;06:40;176;200;666,0;0;0;0;0;10,0;0;0;0;0;0;55,0;0;0;0;0;0
09.10.2024;06:45;176;200;666,0;0;0;0;0;10,0;0;0;0;0;0;55,0;0;0;0;0;0
09.10.2024;06:50;176;200;666,0;0;0;0;0;10,0;0;0;0;0;0;55,0;0;0;0;0;0
09.10.2024;06:55;176;200;666,0;0;0;0;0;10,0;0;0;0;0;0;55,0;0;0;0;0;0
09.10.2024;07:00;176;200;666,0;0;0;0;0;10,0;0;0;0;0;0;55,0;0;0;0;0;0
09.10.2024;07:05;176;200;666,0;0;0;0;0;10,0;0;0;0;0;0;55,0;0;0;0;0;0
09.10.2024;07:10;176;200;666,0;0;0;0;0;10,0;0;0;0;0;0;55,0;0;0;0;0;0
09.10.2024;07:15;176;200;666,0;0;0;0;0;10,0;0;0;0;0;0;55,0;0;0;0;0;0
09.10.2024;07:20;176;200;666,0;0;0;0;0;10,0;0;0;0;0;0;55,0;0;0;0;0;0
