Date;Time;Waterlevel Feedback 1 [cm];Waterlevel Setpoint [cm];Penstock Pressure [bar];Active Power [kW];Active Power Setpoint [kW] / Control Mode [-1=OFF/0=WLC/>0=POW];Voltage Grid [KV];Reactive Power Grid [Kvar];U1 Spear Opening [%];U1 Reactive Power Generator [Kvar];U1 Voltage Generator [KV];U1 Active Power Generator [kW];U1 Operation Mode [0=Off/1=Manual/2=Automatic];U1 Unit Status [0=Off/1=On/2=Parallel/3=Inactive/4=Stop/5=Inlet/6=Standby/7=Start/8=Ctrl/9=On Set Point/10=Standby Pow/11=Standby Wlc];U2 Spear Opening [%];U2 Reactive Power Generator [Kvar];U2 Voltage Generator [KV];U2 Active Power Generator [kW];U2 Operation Mode [0=Off/1=Manual/2=Automatic];U2 Unit Status [0=Off/1=On/2=Parallel/3=Inactive/4=Stop/5=Inlet/6=Standby/7=Start/8=Ctrl/9=On Set Point/10=Standby Pow/11=Standby Wlc]
07.11.2024;11:05;444;400;858,3;8714;0;0;0;73,0;80;6718;4359;1;2;68,8;73;6717;4365;1;2
07.11.2024;11:10;443;400;859,3;8718;0;0;0;73,0;75;6718;4363;1;2;68,8;73;6717;4355;1;2
07.11.2024;11:15;441;400;858,3;8703;0;0;0;73,0;71;6721;4367;1;2;68,8;68;6717;4349;1;2
07.11.2024;11:20;440;400;858,3;8716;0;0;0;73,0;40;6708;4359;1;2;68,8;47;6706;4353;1;2
07.11.2024;11:25;439;400;858,3;8712;0;0;0;73,0;43;6708;4375;1;2;68,8;54;6706;4337;1;2
07.11.2024;11:30;437;400;858,3;8716;0;0;0;73,0;45;6708;4363;1;2;68,8;49;6706;4359;1;2
07.11.2024;11:35;436;400;857,4;8730;0;0;0;73,0;47;6708;4367;1;2;68,8;49;6706;4341;1;2
07.11.2024;11:40;435;400;858,3;8728;0;0;0;73,0;42;6710;4361;1;2;68,8;49;6709;4343;1;2
07.11.2024;11:45;433;400;859,3;8705;0;0;0;73,0;47;6710;4357;1;2;68,8;49;6709;4349;1;2
07.11.2024;11:50;433;400;858,3;8596;0;0;0;71,6;47;6713;4284;1;2;67,6;47;6714;4312;1;2
07.11.2024;11:55;432;400;858,3;8602;0;0;0;71,6;43;6710;4290;1;2;67,6;45;6709;4312;1;2
07.11.2024;12:00;432;400;859,3;8600;0;0;0;71,6;49;6718;4290;1;2;67,6;49;6717;4310;1;2
